Percentage of Votes for Registered Parties,,,,,,,,,,,,,,,,,
,ACT NEW ZEALAND,,GREEN PARTY,,LABOUR PARTY,,MĀORI PARTY,,NATIONAL PARTY,,NEW ZEALAND FIRST PARTY,,UNITED FUTURE,,OTHER,,TOTALS
Electoral District,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes,Percentage,Votes
Auckland Central,329,1.17,6242,22.17,6101,21.67,158,0.56,12652,44.93,1459,5.18,53,0.19,1163,4.13,28157
Bay of Plenty,90,0.25,2645,7.23,4783,13.07,207,0.57,21096,57.66,5100,13.94,78,0.21,2588,7.07,36587
Botany,808,2.41,1461,4.35,7473,22.27,71,0.21,20016,59.65,1825,5.44,49,0.15,1853,5.52,33556
Christchurch Central,167,0.49,5419,15.82,8995,26.25,157,0.46,15301,44.66,2462,7.19,79,0.23,1684,4.91,34264
Christchurch East,107,0.33,4113,12.66,10450,32.16,129,0.4,12928,39.79,3069,9.45,74,0.23,1619,4.98,32489
Clutha-Southland,122,0.36,2647,7.73,5036,14.71,113,0.33,21694,63.38,2135,6.24,68,0.2,2414,7.05,34229
Coromandel,142,0.37,3724,9.82,5960,15.71,184,0.49,20547,54.17,4741,12.5,64,0.17,2569,6.77,37931
Dunedin North,111,0.32,8035,22.94,11147,31.82,124,0.35,11302,32.26,2364,6.75,86,0.25,1863,5.32,35032
Dunedin South,125,0.33,4626,12.29,12518,33.27,95,0.25,15003,39.87,3429,9.11,63,0.17,1769,4.7,37628
East Coast,82,0.23,3248,9.21,8022,22.74,334,0.95,17152,48.62,4176,11.84,78,0.22,2187,6.2,35279
East Coast Bays,580,1.76,2712,8.23,4005,12.15,125,0.38,20895,63.38,1964,5.96,69,0.21,2618,7.94,32968
Epsom,1023,2.72,4706,12.52,5045,13.42,174,0.46,23904,63.6,1308,3.48,61,0.16,1361,3.62,37582
Hamilton East,250,0.72,3833,11.02,8264,23.77,222,0.64,17395,50.03,2481,7.14,104,0.3,2218,6.38,34767
Hamilton West,160,0.48,2765,8.21,8649,25.69,190,0.56,16072,47.73,3644,10.82,87,0.26,2103,6.25,33670
Helensville,262,0.74,4801,13.58,4430,12.53,192,0.54,20689,58.51,2608,7.38,93,0.26,2286,6.46,35361
Hunua,313,0.87,2076,5.79,4699,13.1,144,0.4,22929,63.91,3437,9.58,82,0.23,2196,6.12,35876
Hutt South,256,0.66,4966,12.75,10903,27.98,207,0.53,17648,45.3,2913,7.48,136,0.35,1933,4.96,38962
Ilam,349,0.99,4574,12.96,6238,17.67,171,0.48,20377,57.72,1806,5.12,92,0.26,1697,4.81,35304
Invercargill,113,0.33,2581,7.57,8553,25.07,110,0.32,16880,49.48,3806,11.16,68,0.2,2002,5.87,34113
Kaikōura,144,0.39,3366,9.18,6269,17.1,131,0.36,20770,56.64,3612,9.85,96,0.26,2281,6.22,36669
Kelston,308,1,3298,10.74,12934,42.13,94,0.31,9924,32.32,2595,8.45,48,0.16,1500,4.89,30701
Mana,79,0.22,4691,12.8,12601,34.39,226,0.62,14850,40.53,2493,6.8,116,0.32,1582,4.32,36638
Māngere,68,0.25,1084,3.97,18470,67.56,124,0.45,4281,15.66,2008,7.35,26,0.1,1277,4.67,27338
Manukau East,179,0.67,971,3.65,16925,63.7,84,0.32,5392,20.29,2072,7.8,18,0.07,928,3.49,26569
Manurewa,158,0.57,1092,3.97,14579,53.03,191,0.69,7612,27.69,2609,9.49,24,0.09,1225,4.46,27490
Maungakiekie,512,1.48,3270,9.46,12199,35.3,187,0.54,14394,41.65,2283,6.61,80,0.23,1636,4.73,34561
Mt Albert,356,0.97,8005,21.78,10823,29.45,178,0.48,14359,39.08,1512,4.11,57,0.16,1456,3.96,36746
Mt Roskill,610,1.8,3279,9.67,12086,35.63,132,0.39,14275,42.08,1805,5.32,69,0.2,1665,4.91,33921
Napier,103,0.28,3198,8.77,9466,25.96,160,0.44,18005,49.38,2709,7.43,63,0.17,2756,7.56,36460
Nelson,151,0.4,5381,14.14,9401,24.71,125,0.33,16904,44.43,2918,7.67,95,0.25,3075,8.08,38050
New Lynn,542,1.62,3365,10.05,12085,36.09,119,0.36,13136,39.23,2403,7.18,56,0.17,1778,5.31,33484
