"","...1","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Total stated...21","Not Elsewhere Included","Total...23","Work at home","Proportions (worked today)(19)(20)...25","Did not go to work today","Proportions (worked today)(19)(20)...27","Drive a private car, truck or van","Proportions (worked today)(19)(20)...29","Drive a company car, truck or van","Proportions (worked today)(19)(20)...31","Passenger in a car, truck, van or company bus","Proportions (worked today)(19)(20)...33","Public bus","Proportions (worked today)(19)(20)...35","Train","Proportions (worked today)(19)(20)...37","Bicycle","Proportions (worked today)(19)(20)...39","Walk or jog","Proportions (worked today)(19)(20)...41","Ferry","Proportions (worked today)(19)(20)...43","Other","Proportions (worked today)(19)(20)...45","Total stated...46","Proportions (worked today)(19)(20)...47","Not elsewhere included...48","Total...49","No activities","Household work, cooking, repairs, gardening, etc, for own household","Looking after a child who is a member of own household","Looking after a member of own household who is ill or has a disability","Looking after a child who does not live in own household","Helping someone who is ill or has a disability who does not live in own household","Other helping or voluntary work for or through any organisation, group or marae","Total stated...57","Not elsewhere included...58","Total...59"
"1","Area Outside General Electoral District","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C",0,"..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C","..C"
"2","Auckland Central","762","9","1743","180","2049","1671","3096","6417","1059","1653","2004","1140","7806","2574","1395","2955","2466","1116","1113","41202","..C","41202","3957",9.6,"..C",0,"11274",27.4,"1926",4.7,"861",2.1,"5694",13.8,"1053",2.6,"846",2.1,"13677",33.2,"1062",2.6,"855",2.1,"41202",100,"..C","41202","9216","36522","6738","1656","3867","2670","5817","47025","12519","59544"
"3","Banks Peninsula","714","21","3525","264","4434","1956","3411","2100","1626","525","903","840","4905","1563","1998","3570","4491","756","1794","39396","..C","39396","4671",11.9,"..C",0,"23622",60,"4902",12.4,"984",2.5,"1239",3.1,"9",0,"2466",6.3,"984",2.5,"42",0.1,"477",1.2,"39396",100,"..C","39396","4455","46044","15243","3339","8376","4806","8679","51501","6648","58149"
"4","Bay of Plenty","1548","69","3486","237","4713","1914","3615","1929","2085","270","717","861","3297","1881","1338","2832","3840","603","1695","36924","..C","36924","5256",14.2,"..C",0,"22977",62.2,"5514",14.9,"1059",2.9,"489",1.3,"9",0,"621",1.7,"570",1.5,"6",0,"426",1.2,"36924",100,"..C","36924","4419","42240","15306","3663","7347","4119","6561","47727","9651","57378"
"5","Botany","156","18","4554","267","2664","3012","3594","2094","2028","582","1140","768","3471","1512","1272","2703","2736","432","1326","34326","..C","34326","2721",7.9,"..C",0,"23469",68.4,"3918",11.4,"1452",4.2,"1002",2.9,"705",2.1,"108",0.3,"519",1.5,"132",0.4,"297",0.9,"34326",100,"..C","34326","6723","37011","13842","3045","4020","2265","4725","44970","9171","54141"
"6","Christchurch Central","441","24","3600","282","4602","1794","4029","3225","1521","657","903","882","4443","2232","1755","2721","4446","693","1584","39831","..C","39831","3258",8.2,"..C",0,"23445",58.9,"3879",9.7,"1338",3.4,"2025",5.1,"9",0,"2841",7.1,"2508",6.3,"..C",0,"522",1.3,"39831",100,"..C","39831","6474","41397","11262","2721","5883","3945","6039","48984","9879","58863"
"7","Christchurch East","348","18","3876","249","5685","1800","3873","1983","1536","507","726","660","2853","1821","1557","2544","3819","585","1791","36237","..C","36237","2850",7.9,"..C",0,"23403",64.6,"4890",13.5,"1236",3.4,"1455",4,"..C",0,"1212",3.3,"726",2,"6",0,"453",1.3,"36237",100,"..C","36237","4896","41097","14412","3786","7782","4332","6165","47103","9006","56109"
"8","Coromandel","4320","384","2907","210","3711","1098","3249","2715","1251","219","402","831","2151","1644","1227","2313","3210","573","1311","33720","..C","33720","7014",20.8,"..C",0,"18402",54.6,"4530",13.4,"1104",3.3,"57",0.2,"24",0.1,"453",1.3,"1749",5.2,"21",0.1,"363",1.1,"33720",100,"..C","33720","5241","42741","11388","3855","6906","4857","9045","49209","11010","60219"
"9","Dunedin","528","273","2058","192","2337","1125","3567","3408","1128","507","582","555","3054","1335","1752","5778","4935","867","1323","35304","..C","35304","3513",10,"..C",0,"19503",55.2,"2766",7.8,"1731",4.9,"1347",3.8,"27",0.1,"864",2.4,"5148",14.6,"12",0,"399",1.1,"35304",100,"..C","35304","6312","45513","11814","3270","6858","4440","9894","53163","7458","60618"
"10","East Coast","8223","99","5019","336","3918","1218","3948","2364","1947","426","567","708","2484","2829","2085","4689","5160","501","1923","48444","..C","48444","7491",15.5,"..C",0,"28575",59,"5739",11.8,"2940",6.1,"96",0.2,"18",0,"894",1.8,"1938",4,"..C",0,"741",1.5,"48444",100,"..C","48444","6456","52350","19281","6186","11592","6921","12354","60582","19629","80208"
"11","East Coast Bays","117","6","2298","150","3417","2649","3687","2268","984","870","1782","936","5097","1557","1293","3060","2823","555","1329","34881","..C","34881","3663",10.5,"..C",0,"21015",60.2,"4026",11.5,"1068",3.1,"3855",11.1,"27",0.1,"135",0.4,"717",2.1,"9",0,"369",1.1,"34881",100,"..C","34881","6879","38169","14007","2364","4515","2403","4977","46248","7464","53712"
"12","Epsom","189","21","1932","180","1761","2046","2814","2658","1017","1104","1992","1260","7362","1506","1095","3147","3843","738","1014","35682","..C","35682","3972",11.1,"..C",0,"17481",49,"2565",7.2,"1032",2.9,"4440",12.4,"1389",3.9,"795",2.2,"3285",9.2,"33",0.1,"693",1.9,"35682",100,"..C","35682","6333","38691","11694","2241","4497","3114","6519","46200","7953","54153"
"13","Hamilton East","783","51","3867","423","3012","1596","3714","2667","849","471","801","603","4365","1563","2103","4773","4278","720","1311","37953","..C","37953","3276",8.6,"..C",0,"25230",66.5,"3834",10.1,"1434",3.8,"1092",2.9,"6",0,"1002",2.6,"1686",4.4,"..C",0,"384",1,"37953",100,"..C","37953","6336","43392","15099","3783","7134","4191","7620","51054","10782","61833"
"14","Hamilton West","702","60","5277","492","3921","1935","4104","2394","1326","537","765","618","4011","1788","2355","3393","5430","753","1608","41469","..C","41469","3279",7.9,"..C",0,"27195",65.6,"4623",11.1,"1764",4.3,"1155",2.8,"9",0,"900",2.2,"2118",5.1,"..C",0,"423",1,"41469",100,"..C","41469","5688","44601","15924","4305","8199","4593","7173","51513","11826","63339"
"15","Hutt South","138","42","2760","411","3528","1662","3330","2283","1626","807","1767","657","5223","1782","4734","3366","3516","771","1614","40020","..C","40020","3150",7.9,"..C",0,"19674",49.2,"4269",10.7,"1767",4.4,"2358",5.9,"5685",14.2,"711",1.8,"1644",4.1,"273",0.7,"486",1.2,"40020",100,"..C","40020","5157","44742","15978","3765","7809","4389","8394","51069","8058","59127"
"16","Ilam","492","36","3138","186","3384","1680","3600","2817","1494","489","1011","1017","4362","1467","1599","3489","3597","594","1383","35832","..C","35832","3657",10.2,"..C",0,"21753",60.7,"3618",10.1,"1101",3.1,"1482",4.1,"..C",0,"2286",6.4,"1500",4.2,"..C",0,"429",1.2,"35832",100,"..C","35832","6564","43554","13050","2934","6384","3996","7977","51447","6843","58287"
"17","Invercargill","5115","138","5631","234","2967","2193","3480","1980","1605","198","720","540","2064","966","1545","2601","3867","615","1593","38058","..C","38058","5523",14.5,"..C",0,"22785",59.9,"4800",12.6,"1902",5,"132",0.3,"9",0,"627",1.6,"1500",3.9,"18",0,"762",2,"38058",100,"..C","38058","5562","41859","14004","3477","8520","4611","8052","48741","8019","56760"
